Chemical,Type of Toxicity,CAS No.
Medroxyprogesterone acetate,cancer,71-58-9
Medroxyprogesterone acetate,developmental,71-58-9
Megestrol acetate,cancer,595-33-5
Megestrol acetate,developmental,595-33-5
"MeIQ (2-Amino-3,4-dimethylimidazo[4,5-f]quinoline)",cancer,77094-11-2
"MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)",cancer,77500-04-0
Melphalan,cancer,148-82-3
Melphalan,developmental,148-82-3
Menotropins,developmental,9002-68-0
Mepanipyrim,cancer ,110235-47-7
Meprobamate,developmental,57-53-4
2?Mercaptobenzothiazole,cancer,149-30-4
Mercaptopurine,developmental,6112-76-1
Mercury and mercury compounds,developmental,---
Merphalan,cancer,531-76-0
Mestranol,cancer,72-33-3
Metam potassium,cancer,137-41-7
Methacycline hydrochloride,developmental,3963-95-9
Metham sodium,cancer ,137-42-8
Metham sodium,developmental ,137-42-8
Methanol,developmental,67-56-1
Methazole,developmental ,20354-26-1
Methimazole,developmental,60-56-0
Methotrexate,developmental,5/2/59
Methotrexate sodium,developmental,15475-56-6
5-Methoxypsoralen with ultraviolet A therapy,cancer,484-20-8
8-Methoxypsoralen with ultraviolet A therapy,cancer,298-81-7
Methyl acrylate,cancer,96-33-3
2-Methylaziridine (Propyleneimine),cancer,75-55-8
Methylazoxymethanol,cancer,590-96-5
Methylazoxymethanol acetate,cancer,592-62-1
"Methyl bromide, as a structural fumigant",developmental,74-83-9
Methyl carbamate,cancer ,598-55-0
Methyl chloride,developmental ,74-87-3
"Methyl chloride [Basis for listing changed effective March 7, 2014]",male ,74-87-3
3-Methylcholanthrene,cancer,56-49-5
5-Methylchrysene,cancer,3697-24-3
"4,4'-Methylene bis(2-chloroaniline)",cancer,101-14-4
"4,4'-Methylene bis(N,N-dimethyl)benzenamine",cancer,101-61-1
"4,4'-Methylene bis(2-methylaniline)",cancer,838-88-0
"4,4'-Methylenedianiline",cancer,101-77-9
"4,4'-Methylenedianiline dihydrochloride",cancer,13552-44-8
Methyleugenol,cancer ,93-15-2
Methylhydrazine and its salts,cancer,---
Methylhydrazine,,
Methylhydrazine sulfate,,
2-Methylimidazole,cancer,693-98-1
4-Methylimidazole,cancer,822-36-6
Methyl iodide,cancer,74-88-4
Methyl isobutyl ketone,cancer,108-10-1
Methyl isobutyl ketone (MIBK),developmental,108-10-1
Methyl isocyanate (MIC),"developmental, female ",624-83-9
"Methyl isopropyl ketone Delisted April 4, 2014 [Click for the basis for delisting]",developmental,563-80-4
Methyl mercury,developmental,---
Methylmercury compounds,cancer,---
Methyl methanesulfonate,cancer,66-27-3
Methyl-n-butyl ketone,developmental,591-78-6
"Methyl-n-butyl ketone [Basis for listing changed effective November 9, 2015]",male ,591-78-6
2-Methyl-1-nitroanthraquinone (of uncertain purity),cancer,129-15-7
N-Methyl-N'-nitro-N-nitrosoguanidine,cancer ,70-25-7
N-Methylolacrylamide,cancer,924-42-5
N-Methylpyrrolidone,developmental,872-50-4
?-Methyl styrene (alpha-Methylstyrene),cancer,98-83-9
"?-Methyl styrene Delisted April 4, 2014 [Click for the basis for delisting]",female,98-83-9
Methyltestosterone,developmental,58-18-4
Methylthiouracil,cancer,4/2/56
Metiram,cancer,9006-42-2
Metiram,developmental ,9006-42-2
Metronidazole,cancer,443-48-1
Michler's ketone,cancer,90-94-8
Midazolam hydrochloride,developmental,59467-96-8
Minocycline hydrochloride (internal use),developmental,13614-98-7
Mirex,cancer,2385-85-5
Misoprostol,developmental,59122-46-2
Mitomycin C,cancer,7/7/50
Mitoxantrone hydrochloride,cancer,70476-82-3
Mitoxantrone hydrochloride,developmental,70476-82-3
Molinate,"developmental, female, male ",2212-67-1
Molybdenum trioxide,cancer,1313-27-5
"MON 4660 (dichloroacetyl-1-oxa-4-azaspiro(4,5)-decane",cancer,71526-07-3
MON 13900 (furilazole),cancer,121776-33-8
"3-Monochloropropane-1,2-diol (3-MCPD)",cancer,96-24-2
Monocrotaline,cancer,315-22-0
MOPP (vincristine-prednisone-nitrogen mustard-procarbazine mixture),cancer,113803-47-7
5-(Morpholinomethyl)-3-[(5-nitrofurfuryl-idene)-amino]-2-oxazolidinone,cancer,139-91-3
Mustard Gas,cancer,505-60-2
MX (3-chloro-4-dichloromethyl-5-hydroxy-2(5H)-furanone),cancer,77439-76-0
Myclobutanil,"developmental, male ",88671-89-0
beta-Myrcene,cancer,123-35-3
Nabam,developmental ,142-59-6
Nafarelin acetate,developmental,86220-42-0
Nafenopin,cancer,3771-19-5
Nalidixic acid,cancer ,389-08-2
Naphthalene,cancer ,91-20-3
1-Naphthylamine,cancer,134-32-7
2-Naphthylamine,cancer,91-59-8
Neomycin sulfate (internal use),developmental,1405-10-3
Netilmicin sulfate,developmental,56391-57-2
Nickel (Metallic),cancer,7440-02-0
Nickel acetate,cancer,373-02-4
Nickel carbonate,cancer,3333-67-3
Nickel carbonyl ,cancer,13463-39-3
Nickel carbonyl ,developmental,13463-39-3
Nickel compounds,cancer ,---
Nickel (soluble compounds),"developmental, male ",---
Nickel hydroxide,cancer,12054-48-7; 12125-56-3
Nickelocene,cancer,1271-28-9
Nickel oxide,cancer,1313-99-1
Nickel refinery dust from the pyrometallurgical process,cancer,---
Nickel subsulfide,cancer,12035-72-2
Nicotine,developmental ,11/5/54
Nifedipine,"developmental, female, male ",21829-25-4
Nimodipine,developmental ,66085-59-4
Niridazole,cancer,61-57-4
"Nitrapyrin [Basis for listing changed effective on November 4, 2015]",cancer ,1929-82-4
Nitrapyrin,developmental ,1929-82-4
Nitrilotriacetic acid,cancer,139-13-9
"Nitrilotriacetic acid, trisodium salt monohydrate",cancer,18662-53-8
5-Nitroacenaphthene,cancer,602-87-9
"5-Nitro-o-anisidine Delisted December 8, 2006 [Click here for the basis for delisting]",cancer,99-59-2
o-Nitroanisole,cancer,91-23-6
para-Nitroanisole,cancer,100-17-4
Nitrobenzene,cancer ,98-95-3
Nitrobenzene,male ,98-95-3
4-Nitrobiphenyl,cancer,92-93-3
6-Nitrochrysene,cancer,2/8/96
Nitrofen (technical grade),cancer,1836-75-5
2-Nitrofluorene,cancer,607-57-8
Nitrofurantoin,male,67-20-9
Nitrofurazone,cancer,59-87-0
1-[(5-Nitrofurfurylidene)-amino]-2-imidazolidinone,cancer,555-84-0
N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,cancer,531-82-8
Nitrogen mustard (Mechlorethamine),cancer,51-75-2
Nitrogen mustard (Mechlorethamine),developmental,51-75-2
Nitrogen mustard hydrochloride (Mechlorethamine hydrochloride),cancer,55-86-7
Nitrogen mustard hydrochloride (Mechlorethamine hydrochloride),developmental,55-86-7
Nitrogen mustard N-oxide,cancer,126-85-2
Nitrogen mustard N-oxide hydrochloride,cancer,302-70-5
Nitromethane ,cancer ,75-52-5
2-Nitropropane,cancer,79-46-9
1-Nitropyrene,cancer,5522-43-0
4-Nitropyrene,cancer,57835-92-4
N-Nitrosodi-n-butylamine,cancer,924-16-3
N-Nitrosodiethanolamine,cancer,1116-54-7
N-Nitrosodiethylamine,cancer,55-18-5
N-Nitrosodimethylamine,cancer,62-75-9
p-Nitrosodiphenylamine,cancer,156-10-5
N-Nitrosodiphenylamine,cancer,86-30-6
N-Nitrosodi-n-propylamine,cancer,621-64-7
N-Nitroso-N-ethylurea,cancer,759-73-9
N-Nitrosohexamethyleneimine,cancer,932-83-2
3-(N-Nitrosomethylamino) propionitrile,cancer,60153-49-3
4-(N-Nitrosomethylamino)-1-(3-pyridyl)1-butanone,cancer,64091-91-4
N-Nitrosomethyl-n-butylamine,cancer,7068-83-9
N-Nitrosomethyl-n-decylamine,cancer,75881-22-0
N-Nitrosomethyl-n-dodecylamine,cancer,55090-44-3
N-Nitrosomethylethylamine,cancer,10595-95-6
N-Nitrosomethyl-n-heptylamine  ,cancer,16338-99-1
N-Nitrosomethyl-n-hexylamine,cancer,28538-70-7
N-Nitrosomethyl-n-nonylamine ,cancer,75881-19-5
N-Nitrosomethyl-n-octylamine,cancer,34423-54-6
N-Nitrosomethyl-n-pentylamine,cancer,13256-07-0
N-Nitrosomethyl-n-propylamine,cancer,924-46-9
N-Nitrosomethyl-n-tetradecylamine,cancer,75881-20-8
N-Nitrosomethyl-n-undecylamine,cancer,68107-26-6
N-Nitroso-N-methylurea,cancer,684-93-5
N-Nitroso-N-methylurethane,cancer,615-53-2
N-Nitrosomethylvinylamine,cancer,4549-40-0
N-Nitrosomorpholine,cancer,59-89-2
N-Nitrosonornicotine,cancer,16543-55-8
N-Nitrosopiperidine,cancer,100-75-4
N-Nitrosopyrrolidine,cancer,930-55-2
N-Nitrososarcosine,cancer,13256-22-9
o-Nitrotoluene,cancer ,88-72-2
"Nitrous oxide [Basis for listing changed effective November 8, 2013]","developmental, female",10024-97-2
Norethisterone (Norethindrone) ,cancer,68-22-4
Norethisterone (Norethindrone) ,developmental,68-22-4
Norethisterone acetate (Norethindrone acetate),developmental,51-98-9
Norethisterone (Norethindrone) /Ethinyl estradiol,developmental,68-22-4/               57-63-6
Norethisterone (Norethindrone) /Mestranol,developmental,68-22-4/           72-33-3
Norethynodrel,cancer ,68-23-5
Norgestrel,developmental,6533-00-2
Ochratoxin A,cancer,303-47-9
Oil Orange SS,cancer,2646-17-5
"Oral contraceptives, combined",cancer,---
"Oral contraceptives, sequential",cancer,---
Oryzalin,cancer,19044-88-3
Oxadiazon,cancer,19666-30-9
Oxadiazon,developmental ,19666-30-9
Oxazepam ,cancer,604-75-1
Oxazepam ,developmental,604-75-1
"p,p'-Oxybis(benzenesulfonyl hydrazide)  Delisted December 13, 2013 [Click here for the basis for delisting]",developmental ,80-51-3
Oxydemeton methyl,"female, male ",301-12-2
Oxymetholone ,cancer,434-07-1
Oxymetholone ,developmental ,434-07-1
Oxytetracycline (internal use),developmental,79-57-2
Oxytetracycline hydrochloride (internal use),developmental,2058-46-0
Oxythioquinox (Chinomethionat),cancer ,1/2/39
Oxythioquinox (Chinomethionat),developmental ,1/2/39
Paclitaxel,"developmental, female, male ",33069-62-4
Palygorskite fibers (> 5µm in length),cancer ,12174-11-7
Panfuran S,cancer,794-93-4
Paramethadione,developmental,115-67-3
Parathion,cancer,56-38-2
Penicillamine,developmental,52-67-5
pentabromodiphenyl ether mixture [DE-71 (technical grade)],cancer,---
Pentachlorophenol,cancer,87-86-5
Pentachlorophenol and by-products of its synthesis (complex mixture),cancer,---
Pentobarbital sodium,developmental,57-33-0
Pentosan polysulfate sodium,cancer, ---
Pentostatin,developmental,53910-25-1
Perfluorononanoic acid (PFNA) and its salts,male , ---
Perfluorooctane sulfonate (PFOS),developmental,1763-23-1
Perfluorooctane sulfonic acid (PFOS) and its salts and transformation and degradation precursors,cancer,---
Perfluorooctanoic acid (PFOA),cancer,335-67-1
Perfluorooctanoic acid (PFOA),developmental,335-67-1
Pertuzumab,developmental,380610-27-5
Phenacemide,developmental,63-98-9
Phenacetin,cancer,62-44-2
Phenazopyridine,cancer,94-78-0
Phenazopyridine hydrochloride,cancer,136-40-3
Phenesterin,cancer,10/9/46
Phenobarbital,cancer,6/6/50
Phenolphthalein,cancer  ,9/8/77
Phenoxybenzamine,cancer,59-96-1
Phenoxybenzamine hydrochloride,cancer,63-92-3
Phenprocoumon,developmental,435-97-2
o-Phenylenediamine and its salts,cancer ,95-54-5
   o-Phenylenediamine,,
   o-Phenylenediamine dihydrochloride,,
Phenyl glycidyl ether,cancer,122-60-1
"Phenyl glycidyl ether   
Delisted April 4, 2014 [Click here  for the basis for delisting]",male ,122-60-1
Phenylhydrazine and its salts,cancer,---
   Phenylhydrazine,,
   Phenylhydrazine hydrochloride,,
"o-Phenylphenate, sodium",cancer,132-27-4
o-Phenylphenol,cancer,90-43-7
"Phenylphosphine [Basis for listing changed effective June 6, 2014]",developmental male,638-21-1
"PhiP(2-Amino-1-methyl-6-phenylimidazol[4,5-b]pyridine)",cancer,105650-23-5
Pimozide,"developmental, female ",2062-78-4
Pioglitazone,cancer,111025-46-8
Pipobroman,developmental,54-91-1
Pirimicarb,cancer ,23103-98-2
Plicamycin,developmental,18378-89-7
Polybrominated biphenyls,cancer,---
Polybrominated biphenyls,developmental,---
Polychlorinated biphenyls,cancer,---
Polychlorinated biphenyls,developmental,---
Polychlorinated biphenyls (containing 60 or more percent chlorine by molecular weight),cancer,---
Polychlorinated dibenzo-p-dioxins,cancer,---
Polychlorinated dibenzofurans,cancer,---
Polygeenan,cancer,53973-98-1
Ponceau MX,cancer,3761-53-3
Ponceau 3R,cancer,9/8/64
Potassium bromate,cancer,1/2/58
Potassium dimethyldithiocarbamate,developmental ,128-03-0
Pravastatin sodium,developmental ,81131-70-6
Prednisolone sodium phosphate,developmental ,125-02-0
Primidone,cancer ,125-33-7
Procarbazine,cancer,671-16-9
Procarbazine hydrochloride,cancer,366-70-1
Procarbazine hydrochloride,developmental,366-70-1
Procymidone,cancer,32809-16-8
Progesterone,cancer,57-83-0
Pronamide,cancer,23950-58-5
Propachlor,cancer ,1918-16-7
"1,3-Propane sultone",cancer,1120-71-4
Propargite,cancer,2312-35-8
Propargite,developmental ,2312-35-8
Propazine,"developmental, female",139-40-2
beta-Propiolactone,cancer,57-57-8
Propoxur,cancer ,114-26-1
Propylene glycol mono-t-butyl ether,cancer ,57018-52-7
Propylene oxide,cancer,75-56-9
Propylthiouracil,cancer,51-52-5
Propylthiouracil,developmental,51-52-5
Pulegone,cancer,89-82-7
Pymetrozine,cancer,123312-89-0
Pyridine,cancer,110-86-1
Pyrimethamine,developmental ,58-14-0
Quazepam,developmental ,36735-22-5
Quinoline and its strong acid salts,cancer,---
Quizalofop-ethyl,male ,76578-14-8
Radionuclides,cancer,---
Reserpine,cancer,50-55-5
Residual (heavy) fuel oils,cancer,---
Resmethrin,cancer ,10453-86-8
Resmethrin,developmental ,10453-86-8
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.  (NOTE:  Retinol/retinyl esters are required and essential for maintenance of normal reproductive function.  The recommended daily level during pregnancy is 8,000 IU.)",developmental, ---
Ribavirin,developmental,36791-04-5
Ribavirin,male ,36791-04-5
Riddelliine,cancer ,23246-96-0
Rifampin,"developmental, female ",13292-46-1
"Saccharin  Delisted April 6, 2001  [Click here for the basis for delisting]",cancer,7/2/81
"Saccharin, sodium  Delisted January 17, 2003 [Click here for the basis for delisting]",cancer,128-44-9
Safrole,cancer,94-59-7
"Salted fish, Chinese-style",cancer, ---
Secobarbital sodium ,developmental,309-43-3
Sedaxane,cancer,874967-67-6
Selenium sulfide,cancer,7446-34-6
Sermorelin acetate,developmental ,---
Shale-oils,cancer,68308-34-9
"Silica, crystalline (airborne particles of respirable size)",cancer,---
Simazine,"developmental, female",122-34-9
Sodium dimethyldithiocarbamate,developmental ,128-04-1
Sodium fluoroacetate,male ,62-74-8
"Soots, tars, and mineral oils (untreated and mildly treated oils and used engine oils)",cancer,---
Spirodiclofen,cancer,148477-71-8
Spironolactone,cancer ,1/7/52
Stanozolol,cancer ,10418-03-8
Sterigmatocystin,cancer,10048-13-2
Streptomycin sulfate,developmental,3810-74-0
Streptozocin (streptozotocin),"developmental, female, male ",18883-66-4
Streptozotocin (streptozocin),cancer,18883-66-4
Strong inorganic acid mists containing sulfuric acid,cancer ,---
Styrene,cancer,100-42-5
Styrene oxide,cancer,9/3/96
Sulfallate,cancer,6/7/95
Sulfasalazine (Salicylazosulfapyridine),cancer ,599-79-1
Sulfasalazine (Salicylazosulfapyridine),male ,599-79-1
Sulfur dioxidee,developmental,9/5/46
Sulindac,"developmental, female ",38194-50-2
Talc containing asbestiform fibers,cancer,---
Tamoxifen and its salts,cancer,10540-29-1
Tamoxifen citrate,developmental,54965-24-1
Temazepam,developmental,846-50-4
Teniposide,developmental,29767-20-2
Terbacil,developmental ,5902-51-2
Teriparatide,cancer,52232-67-4
Terrazole,cancer,2593-15-9
Testosterone and its esters,cancer,58-22-0
Testosterone cypionate,developmental,58-20-8
Testosterone enanthate,developmental,315-37-7
Tetrabromobisphenol A,cancer,79-94-7
"3,3',4,4'-Tetrachloroazobenzene",cancer,14047-09-7
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",cancer,1746-01-6
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",developmental,1746-01-6
"1,1,1,2-Tetrachloroethane",cancer,630-20-6
"1,1,2,2-Tetrachloroethane",cancer,79-34-5
Tetrachloroethylene (Perchloroethylene),cancer,127-18-4
"p-a,a,a-Tetrachlorotoluene",cancer,5216-25-1
Tetrachlorvinphos,cancer,22248-79-9
Tetracycline (internal use),developmental,60-54-8
Tetracyclines (internal use),developmental,---
Tetracycline hydrochloride (internal use),developmental,64-75-5
Tetrafluoroethylene,cancer,116-14-3
?9-Tetrahydrocannabinol (?9-THC),developmental,
Tetrahydrofuran,cancer,109-99-9
Tetranitromethane,cancer,509-14-8
Thalidomide,developmental,50-35-1
Thioacetamide,cancer,62-55-5
"4,4'-Thiodianiline",cancer,139-65-1
Thiodicarb,cancer ,59669-26-0
Thioguanine,developmental,154-42-7
Thiophanate methyl,"female, male ",23564-05-8
Thiouracil,cancer ,141-90-2
Thiourea,cancer,62-56-6
Thorium dioxide,cancer,1314-20-1
"Titanium dioxide (airborne, unbound particles of respirable size)",cancer, ---
"Tobacco, oral use of smokeless products",cancer,---
Tobacco smoke,cancer,---
Tobacco smoke (primary),"developmental, female, male",---
Tobramycin sulfate,developmental,49842-07-1
Toluene,developmental,108-88-3
"Toluene [Click here for the basis for the removal of female reproductive endpoint effective March 7, 2014]",female ,108-88-3
Toluene diisocyanate,cancer,26471-62-5
o-Toluidine,cancer,95-53-4
o-Toluidine hydrochloride,cancer,636-21-5
"para-Toluidine  Delisted October 29, 1999 [Click here for the basis for delisting]",cancer,106-49-0
Topiramate,developmental,97240-79-4
Toxaphene (Polychlorinated camphenes),cancer,8001-35-2
Toxins derived from Fusarium moniliforme (Fusarium verticillioides),cancer ,  ---
Treosulfan,cancer,299-75-2
Triadimefon,"developmental, female, male ",43121-43-3
Triamterene,cancer,396-01-0
Triazolam,developmental,28911-01-5
"S,S,S-Tributyl phosphorotrithioate (Tribufos, DEF)",cancer,78-48-8
Tributyltin methacrylate,developmental ,2155-70-6
Trichlormethine (Trimustine hydrochloride),cancer,817-09-4
Trichloroacetic acid,cancer,3/9/76
Trichloroethylene,cancer,1/6/79
Trichloroethylene,"developmental, male",1/6/79
"2,4,6-Trichlorophenol",cancer,6/2/88
"1,2,3-Trichloropropane",cancer,96-18-4
Trientine hydrochloride,developmental ,38260-01-4
Triforine,developmental ,26644-46-2
"1,3,5-Triglycidyl-s-triazinetrione  Delisted December 13, 2013 [Click here for the basis for delisting]",male ,2451-62-9
Trilostane,developmental,13647-35-3
Trimethadione,developmental,127-48-0
"2,4,5-Trimethylaniline and its strong acid salts",cancer ,---
"Trimethylolpropane triacrylate, technical grade",cancer,---
Trimethyl phosphate,cancer,512-56-1
Trimetrexate glucuronate,developmental ,82952-64-5
TRIMÆ VX,cancer,---
"2,4,6-Trinitrotoluene (TNT)",cancer ,118-96-7
Triphenyltin hydroxide,cancer,76-87-9
Triphenyltin hydroxide,developmental ,76-87-9
"Tris(aziridinyl)-p-benzoquinone (Triaziquone) Delisted December 8, 2006 [Click here for the basis for delisting]",cancer,68-76-8
Tris(1-aziridinyl)phosphine sulfide (Thiotepa),cancer,52-24-4
Tris(2-chloroethyl) phosphate,cancer,115-96-8
"Tris(2,3-dibromopropyl)phosphate",cancer,126-72-7
"Tris(1,3-dichloro-2-propyl) phosphate (TDCPP)",cancer,13674-87-8
Trp-P-1 (Tryptophan-P-1),cancer,62450-06-0
Trp-P-2 (Tryptophan-P-2),cancer,62450-07-1
Trypan blue (commercial grade),cancer,72-57-1
Unleaded gasoline (wholly vaporized),cancer,---
Uracil mustard,cancer,66-75-1
Uracil mustard,"developmental, female, male",66-75-1
Urethane (Ethyl carbamate),cancer,51-79-6
Urethane (Ethyl carbamate),developmental,51-79-6
Urofollitropin,developmental,97048-13-0
Valproate (Valproic acid),developmental,99-66-1
Vanadium pentoxide (orthorhombic crystalline form),cancer ,1314-62-1
Vinblastine sulfate,developmental,143-67-9
"Vinclozolin [basis for listing changed on November 16, 2006]",cancer ,50471-44-8
Vinclozolin,developmental ,50471-44-8
Vincristine sulfate,developmental,2068-78-2
Vinyl bromide,cancer,593-60-2
Vinyl chloride,cancer,1/4/75
4-Vinylcyclohexene,cancer,100-40-3
"4-Vinylcyclohexene [Click here for the basis for the removal of male reproductive endpoint, effective December 20, 2013 ]","female, male ",100-40-3
4-Vinyl-1-cyclohexene diepoxide (Vinyl cyclohexenedioxide),cancer,106-87-6
"Vinyl cyclohexene dioxide (4-Vinyl-1-cyclohexene diepoxide) [Click here for the basis for the removal of male reproductive endpoint, effective December 20, 2013]","female, male ",106-87-6
Vinyl fluoride,cancer,2/5/75
"Vinylidene chloride 
(1,1-Dichloroethylene)",cancer,75-35-4
"Vinyl trichloride (1,1,2-Trichloroethane)",cancer,79-00-5
Vismodegib,"developmental, female, male",879085-55-9
Warfarin,developmental,81-81-2
Wood dust,cancer , ---
"2,6-Xylidine (2,6-Dimethylaniline)",cancer,87-62-7
Zalcitabine,cancer ,7481-89-2
Zidovudine (AZT),cancer ,30516-87-1
Zileuton ,"cancer, developmental, female",111406-87-2
"Zineb  Delisted October 29, 1999 [Click here for the basis for delisting]",cancer,12122-67-7
