Table 1
Region,Market,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Worldwide,Shaving,Online Revenue Share,Online,percent,Statista,,,,18.513,19.588,20.765,24.643,25.66,26.988,28.589,30.781,33.406,,
Worldwide,Shaving,Mobile/Desktop Split,Desktop,percent,Statista,,,,56.222,52.358,48.888,47.91,44.013,40.585,37.264,34.863,32.549,,
Worldwide,Shaving,Mobile/Desktop Split,Mobile,percent,Statista,,,,43.778,47.642,51.112,52.09,55.987,59.415,62.736,65.137,67.451,,
Worldwide,Deodorants,Revenue,Total,billion USD (US$),Statista,22.57,20.76,21.03,22.07,22.63,22.95,21.6,22.78,23.74,25.7,26.64,27.56,28.6,29.86
Worldwide,Deodorants,Revenue Change,Total,percent,Statista,,-8.019,1.301,4.945,2.537,1.414,-5.882,5.463,4.214,8.256,3.658,3.453,3.774,4.406
Worldwide,Deodorants,Average Revenue per Capita,Total,USD (US$),Statista,3.203,2.912,2.917,3.028,3.073,3.085,2.877,3.008,3.111,3.341,3.436,3.525,3.629,3.759
Worldwide,Deodorants,Online Revenue Share,Offline,percent,Statista,,,,89.069,87.423,85.569,82.186,79.54,77.015,74.15,70.779,66.918,,
Worldwide,Deodorants,Online Revenue Share,Online,percent,Statista,,,,10.931,12.577,14.431,17.814,20.46,22.985,25.85,29.221,33.082,,
Worldwide,Deodorants,Mobile/Desktop Split,Desktop,percent,Statista,,,,63.508,60.405,57.881,55.637,53.746,51.895,50.21,48.934,47.704,,
Worldwide,Deodorants,Mobile/Desktop Split,Mobile,percent,Statista,,,,36.492,39.595,42.119,44.363,46.254,48.105,49.79,51.066,52.296,,
Worldwide,Oral Care,Revenue,Total,billion USD (US$),Statista,44.99,42.06,42.51,44.2,45.71,46.2,45.88,48.5,48.6,51.45,53.14,54.79,56.75,58.94
Worldwide,Oral Care,Revenue Change,Total,percent,Statista,,-6.513,1.07,3.976,3.416,1.072,-0.693,5.711,0.206,5.864,3.285,3.105,3.577,3.859
Worldwide,Oral Care,Average Revenue per Capita,Total,USD (US$),Statista,6.386,5.9,5.897,6.064,6.206,6.209,6.109,6.405,6.369,6.689,6.853,7.007,7.2,7.419
Worldwide,Oral Care,Online Revenue Share,Offline,percent,Statista,,,,82.335,80.971,79.447,75.613,73.694,71.786,69.584,66.844,63.717,,
Worldwide,Oral Care,Online Revenue Share,Online,percent,Statista,,,,17.665,19.029,20.553,24.387,26.306,28.214,30.416,33.156,36.283,,
Worldwide,Oral Care,Mobile/Desktop Split,Desktop,percent,Statista,,,,58.046,54.517,51.535,50.21,47.388,44.55,41.834,39.776,37.702,,
Worldwide,Oral Care,Mobile/Desktop Split,Mobile,percent,Statista,,,,41.954,45.483,48.465,49.79,52.612,55.45,58.166,60.224,62.298,,
Worldwide,Fragrances,Revenue,Total,billion USD (US$),Statista,54.44,49.41,49.56,51.86,53.08,53.28,46.54,50.58,53.44,58.27,59.87,61.49,63.55,66.21
Worldwide,Fragrances,Revenue Change,Total,percent,Statista,,-9.24,0.304,4.641,2.352,0.377,-12.65,8.681,5.654,9.038,2.746,2.706,3.35,4.186
Worldwide,Fragrances,Average Revenue per Capita,Total,USD (US$),Statista,7.726,6.931,6.875,7.114,7.206,7.16,6.197,6.679,7.002,7.574,7.721,7.864,8.063,8.335
Worldwide,Fragrances,Luxury Revenue Share ,Luxury,percent,Statista,29.512,28.164,27.553,26.913,26.967,27.458,24.12,26.739,27.915,27.27,27.647,27.77,,
Worldwide,Fragrances,Luxury Revenue Share ,Non-Luxury,percent,Statista,70.488,71.836,72.447,73.087,73.033,72.542,75.88,73.261,72.085,72.73,72.353,72.23,,
Worldwide,Fragrances,Online Revenue Share,Offline,percent,Statista,,,,88.533,86.965,85.191,81.721,79.204,76.818,74.096,70.848,67.106,,
Worldwide,Fragrances,Online Revenue Share,Online,percent,Statista,,,,11.467,13.035,14.809,18.279,20.796,23.182,25.904,29.152,32.894,,
Worldwide,Fragrances,Mobile/Desktop Split,Desktop,percent,Statista,,,,62.331,59.275,56.748,54.746,53.013,51.402,49.922,48.894,47.889,,
Worldwide,Fragrances,Mobile/Desktop Split,Mobile,percent,Statista,,,,37.669,40.725,43.252,45.254,46.987,48.598,50.078,51.106,52.111,,
